"Provider Approval Number","Service Approval Number","Legal Name","Trading Name",Address,Suburb,State,Postcode,"Date Approval Granted",Conditions
PR-40034321,,"LITTLE PENGUIN KILSYTH PTY LTD",,"23 Eley Rd","BLACKBURN SOUTH",VIC,3130,19/10/2023,
PR-40034327,,"WOODLANDS WALLAN PTY LTD","Woodlands Wallen","Level 14, 41 Exhibition Street",MELBOURNE,VIC,3000,04/09/2023,
PR-40034330,,"WOODLANDS BORONIA PTY LTD","Woodlands Boronia","Level 14, 41 Exhibition Street",MELBOURNE,VIC,3000,04/09/2023,
PR-40034334,,"WOODLANDS WERRIBEE PTY LTD","Woodlands Werribee","Level 14, 41 Exhibition Street",MELBOURNE,VIC,3000,04/09/2023,
PR-40034335,,"WOODLANDS GROVEDALE PTY LTD","Woodlands Grovedale","Level 14, 41 Exhibition Street",MELBOURNE,VIC,3000,04/09/2023,
PR-40034344,,"Building Blocks Early Learning Centre Pty Ltd","Building Blocks Early Learning Centre","81 Alamein Rd","HEIDELBERG WEST",VIC,3081,13/07/2024,
PR-40034455,,"WOODLANDS CRAIGIEBURN PTY LTD","Woodlands Craigieburn","Level 14, 41 Exhibition Street",MELBOURNE,VIC,3000,04/09/2023,
PR-40034479,,"Satwinder Kaur",,"6 Carson St",SHEPPARTON,VIC,3630,03/05/2024,"The person with management or control of the approved provider must undertake professional development in Quality Area 7 - Governance and Leadership  prior to applying for service approval or transfer.

• The professional development must be delivered by a recognised early childhood organisation or expert, and approved in writing by the Department prior to undertaking the professional development.
• The Department must be provided with proof of completion of the professional development within 7 days of completion.
"
PR-40034496,,"The Trustee for Wallaby Childcare Donnybrook Trust","Wallaby Childcare Donnybrook","115 Beach Rd",SANDRINGHAM,VIC,3191,20/09/2023,
PR-40034540,,"LETS GO FAMILY DAY CARE PTY LTD","Lets Go Family Day Caree PTY LTD","PO Box 70",SEVILLE,VIC,3139,13/09/2023,
PR-40034546,,"Sukhdeep Kaur",,"238 Mandalay Cct",BEVERIDGE,VIC,3753,22/09/2024,
PR-40034556,,"Kamaljeet Kaur",,"13 Evolve Esp",WOLLERT,VIC,3750,02/09/2024,
PR-40034683,,"Champions Haus Early Learning Centre PTY LTD","Champions Haus Early Learning Centre PTY LTD","9 JOSEPHINE AV","CRANBOURNE NORTH",VIC,3977,26/02/2024,
PR-40034706,,"BIRKIN AUSTRALIA PTY LTD ATF WZ UNIT TRUST",,"17 Bruce St",BALWYN,VIC,3103,19/10/2023,
PR-40034720,,"Anmoila Khan Talpur",,"103 Hemsley Promenade","POINT COOK",VIC,3030,15/04/2024,
PR-40034794,,"Biko Qaradakhi",,"11 Kurung Dr","KINGS PARK",VIC,3021,18/04/2024,
PR-40034849,,"EV INC","EV Strengthening Communities","U 1  36-40 New St",RINGWOOD,VIC,3134,17/01/2024,
PR-40034899,,"NOWRA DULILI PTY LTD ATF NOWRA DULILI UNIT TRUST","BUBBLES EARLY LEARNING CENTRE","1 Grantchester Road","NARRE WARREN NORTH",VIC,3804,19/04/2024,
PR-40034903,,"ABC EARLY EDUCATION PTY LTD ATF Cousins Family Trust","ABC EARLY EDUCATION PTY LTD","23 THYME STREET",TRUGANIN,VIC,3029,25/01/2024,
PR-40034981,,"MANSFIELD EARLY LEARNING PTY LTD",,"SUITE 3, 1 HARDNER ROAD","MOUNT WAVERLEY",VIC,3149,27/12/2024,
PR-40035023,,"MATERNAL LOVE EDU PTY LTD",,"54 Valley Lake Bvd","KEILOR EAST",VIC,3033,21/02/2024,"The person(s) with management or control of the approved provider, must undertake professional development in Quality Area 7 – Governance and Leadership and the Child Safe Standards prior to applying for service approval or transfer. 

The professional development must be delivered by a recognised early childhood organisation or expert and approved in writing by the Department prior to undertaking the professional development. 

The Department must be provided with proof of completion of the professional development within 7 days of completion. "
PR-40035065,,"KNOX CENTRAL PRIMARY SCHOOL Council","Knox Central Primary School Council","31-53 Darwin Rd",BORONIA,VIC,3155,16/12/2023,
PR-40035138,,"RS Business Group Pty Ltd ATF RS Business Trust",,"87 - 89 Pound Rd",WARRANDYTE,VIC,3113,28/03/2024,
PR-00009440,,"SUNSHINE KIDS PRESCHOOL PTY LTD",,"50 LANCASTER ST","BENTLEIGH EAST",VIC,3165,22/08/2024,"Prior to applying for service approval or transfer, the person with management or control of the approved provider, must undertake professional development in Quality Area 7 – Governance and Leadership. 

The professional development must be delivered by a recognised early childhood organisation or expert and approved in writing by the Department prior to undertaking the professional development. 

The Department must be provided with proof of completion of the professional development within 7 days of completion"
PR-00009452,,"TYRRELL COLLEGE SCHOOL COUNCIL","Tyrrell College","TYRELL COLLEGE, 10 SUTCLIFF ST","SEA LAKE",VIC,3533,31/10/2024,
PR-00009458,,"WORN GUNDIDJ ABORIGINAL CO-OPERATIVE LTD","Worn Gundidj Aboriginal CoOp","1-3 ROONEYS RD",WARRNAMBOOL,VIC,3280,05/12/2024,
PR-00009495,,"ICEY AND COCO STUDIO PTY LTD","Colourful feather education","22 VIEW RD",VERMONT,VIC,3133,23/09/2024,
PR-00009508,,"Ekaterina  Rzhevskaia","Ekaterina Rzhevskaia","44 LINDSAY GDNS","POINT COOK",VIC,3030,19/11/2024,
PR-00009509,,"GIGGLE & TWINKLE CHILDREN PTY LTD",GiggleTwinkle,"37 CROWS LANE","GLEN WAVERLEY",VIC,3150,19/11/2024,
PR-00009518,,"AC & RS EDUCATION PTY LTD",Kidsplay,"419 BAY ST",BRIGHTON,VIC,3186,30/07/2024,
PR-00009519,,"SimHar Pty Ltd ATF Somal Family Trust",,"7 WINCOTT CR","POINT COOK",VIC,3030,06/02/2025,
PR-00009522,,"LL NARRE WARREN PTY LTD ATF The Trustee for LL Narre Warren Trust","LEARNING LADDER ELC NARRE WARREN","6-8 MEADOW WOOD WALK","NARRE WARREN",VIC,3805,27/06/2024,
PR-00009526,,"ZOE SUPPORT AUSTRALIA","Zoe Support Australia","278 DEAKIN AV",MILDURA,VIC,3500,19/12/2024,
PR-00009538,,"Treetop Early Learning Epping Pty Ltd ATF Treetop Early learning Epping Unit Trust","Treetop Early Learning Epping Pty Ltd","SUITE 37 574 PLUMMER ST","PORT MELBOURNE",VIC,3207,30/08/2024,
PR-00009540,,"5 OUTCOMES PTY LTD","Phillip Island Kindergarten","32 MCLAREN ST","MOUNT WAVERLEY",VIC,3149,23/09/2024,
PR-00009549,,"ALGEBRA INVESTMENT PTY LTD",,"12-14 GLYNDEBOURNE AV",TOORAK,VIC,3142,11/10/2024,
PR-00009555,,"LITTLE FLOWER ENTERPRISES PTY LTD",,"UNIT 2 380 CLAYTON RD","CLAYTON SOUTH",VIC,3169,18/12/2024,
PR-00009583,,"ZHANG & HE FAMILY PTY LTD",,"32 ROOKWOOD ST","BALWYN NORTH",VIC,3104,19/11/2024,
PR-00009586,,"J HAMMOUD PTY LTD","Inspire and Play Early Learning","28 HAVERSTOCK HILL CL","ENDEAVOUR HILLS",VIC,3802,26/11/2024,
PR-00009593,,"Eunoia Education Ferntree Gully Pty Ltd","Eunoia Education Kindergarten and Childcare Centre Ferntree Gully","399-401 CENTRE RD",BERWICK,VIC,3806,26/08/2024,
PR-00009602,,"AUM 1406 PTY LTD ATF JAI BHAIRAVI TRUST",,"18 FAIRWAY CT",BUNDOORA,VIC,3083,23/09/2024,
PR-00009617,,"GUMBOOTS EARLY LEARNING WERRIBEE PTY LTD","Gumboots Early Learning Werribee","140 KEILOR RD","ESSENDON NORTH",VIC,3041,30/07/2024,
PR-00009618,,"GUMBOOTS EARLY LEARNING GISBORNE PTY LTD","GUMBOOTS EARLY LEARNING GISBORNE","70 BREWSTER ST",ESSENDON,VIC,3040,30/07/2024,
PR-00009619,,"OLLI & ALEX HOLDINGS PTY LTD",,"47-49 WATTLE VALLEY DR","HILLSIDE (GREATER MELBOURNE)",VIC,3037,29/07/2024,
PR-00009632,,"KINGKIDS 6 PTY LTD as trustee for the King Family Trust Number 6","KingKids Early Learning Centre and Kindergarten Dandenong","SUITE 1 LEVEL 2 333 POLICE RD",MULGRAVE,VIC,3170,23/07/2024,
PR-00009640,,"ME FOR KIDS LALOR PTY LTD","Lalor Early Learning Centre","BUILDING 5, SUITE 57 195 WELLINGTON RD",CLAYTON,VIC,3168,26/08/2024,
PR-00009642,,"NEXTGEN FAMILY DAY CARE PTY LTD","NEXTGEN FAMILY DAY CARE PTY LTD","19 WARKIL ST",COBRAM,VIC,3644,22/08/2024,
PR-00001801,,"Shelford Girls' Grammar",,"3 Hood Crescent",CAULFIELD,VIC,3162,29/12/2011,
PR-00001802,,"Sherbourne Preschool Assoc Inc",,"156 Sherbourne Road",MONTMORENCY,VIC,3094,29/12/2011,
PR-00001803,,"Sholem Aleichem College and Preschool",,"11 SINCLAIR ST",ELSTERNWICK,VIC,3185,29/12/2011,
PR-00001805,,"Skye Children's Co-op Ltd",,"9-11 Skye Street",MACLEOD,VIC,3085,29/12/2011,
PR-00001807,,"Somerville Kindergarten INC","Somerville Kindergarten","PO Box 84",SOMERVILLE,VIC,3912,29/12/2011,
PR-00001808,,"Sorrento Preschool Inc",,"Sorrento Preschool, 20-22 Darling Road",SORRENTO,VIC,3943,29/12/2011,
PR-00001809,,"South Kingsville Preschool Inc",,"43 Paxton Street","SOUTH KINGSVILLE",VIC,3015,29/12/2011,
PR-00001810,,"South Melbourne Child Care Co-op",,"5 CARTER ST","ALBERT PARK",VIC,3206,29/12/2011,
PR-00001811,,"South Morang Preschool Association Inc",,"P.O. Box 141","SOUTH MORANG",VIC,3752,29/12/2011,
PR-00001812,,"South Mornington Preschool Association Inc",,"1 Downward Street",MORNINGTON,VIC,3931,29/12/2011,
PR-00001813,,"Southern Grampians Shire Council",,"PO Box 685",HAMILTON,VIC,3300,29/12/2011,
PR-00001814,,"Springvalley Preschool Inc",,"41-43 Clarke Road","SPRINGVALE SOUTH",VIC,3172,29/12/2011,
PR-00001819,,"St Alipius Parish Church",,"PO Box 1015","BAKERY HILL",VIC,3354,29/12/2011,
PR-00001820,,"Roman Catholic Trusts Corporation",,"27 Orange Grove",BAYSWATER,VIC,3153,29/12/2011,
PR-00001821,,"St Catherine's School Council",,"17 Heyington Place",TOORAK,VIC,3142,29/12/2011,
PR-00001823,,"LUTHERAN CHURCH OF AUSTRALIA VICTORIAN DISTRICT",,"755 Station Street","BOX HILL",VIC,3128,29/12/2011,
PR-00001824,,"St Kilda & Balaclava Kindergarten Inc",,"23 Nelson Street",BALACLAVA,VIC,3183,29/12/2011,
PR-00001825,,"St Leonard's College",,"163 South Road","BRIGHTON EAST",VIC,3187,29/12/2011,
PR-00001826,,"St Michael's Grammar School",,"25 Chapel St","ST KILDA",VIC,3182,29/12/2011,
PR-00001827,,"St Paul's Anglican Kindergarten (Canterbury) Inc",,"St Pauls Kindergarten, 29 Highfield Rd",CANTERBURY,VIC,3126,29/12/2011,
PR-00001828,,"Gippsland Grammar","Gippsland Grammar","PO Box 465",SALE,VIC,3850,29/12/2011,
PR-00001831,,"Stawell & District Preschool Assoc Inc",,"PO Box 350",STAWELL,VIC,3380,29/12/2011,
PR-00001832,,"Stonnington City Council",,"PO BOX 58",MALVERN,VIC,3144,29/12/2011,
PR-00001833,,"Strathfieldsaye Preschool Inc",,"26 Club Court",STRATHFIELDSAYE,VIC,3551,29/12/2011,
PR-00001835,,"Summerhill Park Kindergarten Inc",,"46 Audrey Crescent","GLEN IRIS",VIC,3146,29/12/2011,
PR-00001837,,"Sunnyside Kindergarten Association Inc",,"5 Cooinda Pl","MALVERN EAST",VIC,3145,29/12/2011,
PR-00001838,,"Sunraysia Institute of TAFE Community Child Care Centre Inc",,"PO Box 1904",MILDURA,VIC,3502,29/12/2011,
PR-00001839,,"Surf Coast Shire Council",,"Surf Coast Shire Office, 1 Merrijig Dr",TORQUAY,VIC,3228,29/12/2011,
PR-00001840,,"Surrey Hills Preschool Centre Inc",,"18 Verdun Street","SURREY HILLS",VIC,3127,29/12/2011,
PR-00001841,,"Swan Hill Child Care Co-op",,"PO Box 18","SWAN HILL",VIC,3585,29/12/2011,
PR-00001842,,"Swan Hill Rural City Council",,"PO Box 488","SWAN HILL",VIC,3585,29/12/2011,
PR-00001845,,"Syndal Preschool Association Inc",,"2 Matthew Street","GLEN WAVERLEY",VIC,3150,29/12/2011,
PR-00001848,,"Remus Way Children's Centre Inc",,"Cnr Remus Way & Fastnet Dr","TAYLORS LAKES",VIC,3038,29/12/2011,
PR-00001849,,"Tecoma Preschool Inc",,"1534 Burwood Highway",TECOMA,VIC,3160,29/12/2011,
PR-00001850,,"Tedgar Enterprises Pty Ltd",,"20 Bell Street",MOE,VIC,3825,29/12/2011,
PR-00001852,,"Templestowe Heights Preschool Association Inc",,"64 Fyfe Drive","TEMPLESTOWE LOWER",VIC,3107,29/12/2011,
PR-00001856,,"The Ballan & District Preschool Centre Inc",,"PO Box 262",BALLAN,VIC,3342,29/12/2011,
PR-00001858,,"The Beechworth Community Child Care Centre Inc",,"PO Box 98",BEECHWORTH,VIC,3747,29/12/2011,
PR-00001859,,"The Combined Preschools of Southern Grampians Inc",,"PO Box 458",HAMILTON,VIC,3300,29/12/2011,
PR-00001860,,"The Geelong College",,"399 Aberdeen Street",NEWTOWN,VIC,3220,29/12/2011,
PR-00001864,,"The Irymple Kindergarten Inc",,"PO Box 362",IRYMPLE,VIC,3498,29/12/2011,
PR-00001865,,"The Jan Juc Preschool Inc",,"PO Box 120",TORQUAY,VIC,3228,29/12/2011,
PR-00001867,,"The Merri Community Child Care Centre Inc",,"313 St Georges Road",THORNBURY,VIC,3071,29/12/2011,
PR-00001868,,"The Minifie Park Child Care Centre Assoc Inc",,"290 Belmore Rd",BALWYN,VIC,3103,29/12/2011,
PR-00001869,,"The Range Children's Centre Inc",,"87 Kororoit Creek Road",WILLIAMSTOWN,VIC,3016,29/12/2011,
PR-00001871,,"The University of Melbourne",,"Queensberry Children's Centre, 228 Queensberry St",CARLTON,VIC,3053,29/12/2011,
PR-00001872,,"The Westbourne Education Services Ltd",,"PO Box 37",WERRIBEE,VIC,3030,29/12/2011,
PR-00001873,,"Thomastown Child Care Centre Inc",,"129 Edgars Rd",THOMASTOWN,VIC,3074,29/12/2011,
PR-00001874,,"Thomastown West Preschool Inc",,"127 Edgars Road",THOMASTOWN,VIC,3074,29/12/2011,
PR-00001875,,"Thornbury Kindergarten Inc",,"8c Newcastle Street",THORNBURY,VIC,3071,29/12/2011,
PR-00001876,,"Through Road Child Care Assoc Inc",,"171 Through Rd",CAMBERWELL,VIC,3124,29/12/2011,
PR-00001877,,"Tootgarook Preschool Inc",,"24 Barry Street",TOOTGAROOK,VIC,3941,29/12/2011,
PR-00001878,,"Torquay Kindergarten Inc",,"27 Grossmans Road",TORQUAY,VIC,3228,29/12/2011,
PR-00001879,,"TRY AUSTRALIA CHILDREN'S SERVICES",,"45 Yazaki Way","CARRUM DOWNS",VIC,3201,29/12/2011,
PR-00001880,,"Tunstall Square Kindergarten Inc",,"Tunstall Square Kindergarten, 77 Tunstall Rd","DONCASTER EAST",VIC,3109,29/12/2011,
PR-00001881,,"Turkish Community Services Co-op Ltd",,"8 Wolseley Parade",KENSINGTON,VIC,3031,29/12/2011,
PR-00001882,,"Twin Hills Preschool Inc",,"39 Mayfair Avenue","TEMPLESTOWE LOWER",VIC,3107,29/12/2011,
PR-00001885,,"Deakin & Community Childcare Co-operative Ltd",,"Deakin University Burwood, 221 Burwood Hwy",BURWOOD,VIC,3125,29/12/2011,
PR-00001886,,"Upper Beaconsfield Community Centre Inc",,"10-12 SALISBURY RD","BEACONSFIELD UPPER",VIC,3808,29/12/2011,
PR-00001888,,"CIRE SERVICES INCORPORATED","formally Upper Yarra Comunity House Inc","7-9 JOHN ST, Level 1",LILYDALE,VIC,3140,14/05/2012,
PR-00001889,,"Victoria University",,"PO Box 14428",MELBOURNE,VIC,8001,29/12/2011,
PR-00001891,,"View Bank Preschool Association Inc",,"Cnr Lyon Rd & Duff Pde",VIEWBANK,VIC,3084,29/12/2011,
PR-00001892,,"Virginia Park Child Care Association Inc",,"232 East Boundary Road","BENTLEIGH EAST",VIC,3165,29/12/2011,
PR-00001893,,"Vista Valley Kindergarten Association Inc",,"3 Vista Street",BULLEEN,VIC,3105,29/12/2011,
PR-00001895,,"Walkers Road Preschool Inc",,"Walkers Rd Pre School, 47 Walkers Rd","MOUNT ELIZA",VIC,3930,29/12/2011,
PR-00001896,,"Wallace Kindergarten Inc",,"729 Bungaree-Wallace Road",WALLACE,VIC,3352,29/12/2011,
PR-00001897,,"Warrandyte & District Preschool Assoc Inc",,"2 Taroona Avenue",WARRANDYTE,VIC,3113,29/12/2011,
PR-00001898,,"Warrandyte Child Care & Preschool Centre Co-op Ltd",,"25 DRYSDALE RD",WARRANDYTE,VIC,3113,29/12/2011,
PR-00001899,,"Warrawee Park Preschool Inc",,"10 The Rameo",BUNDOORA,VIC,3083,29/12/2011,
PR-00001900,,"Warrnambool City Council",,"PO Box 198",WARRNAMBOOL,VIC,3280,29/12/2011,
PR-00001902,,"Waterfall Gully Preschool Inc",,"Waterfall Gully Pre School, 325 Bayview Rd",ROSEBUD,VIC,3939,29/12/2011,
PR-00001903,,"Watsonia North Preschool Inc",,"68 MACORNA ST","WATSONIA NORTH",VIC,3087,29/12/2011,
PR-00001904,,"Watsonia Preschool Assoc Inc",,"19 Crellin Crescent",WATSONIA,VIC,3087,29/12/2011,
PR-00001905,,"Wattle Hill Kindergarten Inc",,"Wattle Hill Kindergarten, 19 Livingstone Cl",BURWOOD,VIC,3125,29/12/2011,
PR-00001907,,"Waverley Christian College Inc",,"PO Box 395",VERMONT,VIC,3133,29/12/2011,
PR-00001908,,"Waverley Meadows Preschool Association Inc",,"6 Farnham Avenue","WHEELERS HILL",VIC,3150,29/12/2011,
PR-00001909,,"Wayburne Preschool Association Inc",,"579 Waverley Road","GLEN WAVERLEY",VIC,3150,29/12/2011,
PR-00001910,,"Wellington Preschool Inc",,"55 SHAFTSBURY DR",MULGRAVE,VIC,3170,29/12/2011,
PR-00001912,,"West Hawthorn Preschool Inc",,"WEST HAWTHORN PRE-SCHOOL, 39 BROOK ST",HAWTHORN,VIC,3122,29/12/2011,
PR-00001914,,"Westdale Kindergarten Inc",,"PO Box 549",BAIRNSDALE,VIC,3875,29/12/2011,
PR-00001915,,"Westernport Child Care Centre Pty Ltd ATF The Giacco Family Trust",,"249 Marine Parade",HASTINGS,VIC,3915,29/12/2011,
PR-00001917,,"Whittlesea Preschool Inc",,"30 Corella Dr",WHITTLESEA,VIC,3757,29/12/2011,
PR-00001918,,"Wimble Street Child Care Co-op",,"18 Wimble Street",PARKVILLE,VIC,3052,29/12/2011,
PR-00001919,,"Wingate Avenue Children's Co-op Ltd",,"13B Wingate Avenue","ASCOT VALE",VIC,3032,29/12/2011,
PR-00001921,,"Winston Hills Preschool Assoc Inc",,"24 ROHAN ST",VIEWBANK,VIC,3084,29/12/2011,
PR-00001923,,"Woady Yaloak Preschool Inc",,"25 Pitfield Road",SCARSDALE,VIC,3351,29/12/2011,
PR-00001924,,"Wodonga Institute of TAFE",,"15 McKoy Street",WODONGA,VIC,3690,29/12/2011,
PR-00001925,,"Wodonga City Council",,"PO Box 923",WODONGA,VIC,3689,29/12/2011,
PR-00001927,,"Woodridge Preschool Inc",,"3 Novello Court",ELTHAM,VIC,3095,29/12/2011,
PR-00001929,,"Wyndham City Council",,"45 Princes Highway",WERRIBEE,VIC,3030,29/12/2011,
PR-00001930,,"Yandell Kindergarten Inc",,"1 Community Dr",GREENSBOROUGH,VIC,3088,29/12/2011,
PR-00001931,,"Yarra City Council",,"PO Box 168",RICHMOND,VIC,3121,29/12/2011,
PR-00001932,,"Yarra Glen Preschool Assoc Inc",,"P O Box 42","YARRA GLEN",VIC,3775,29/12/2011,
PR-00001933,,"Yarra Ranges Shire Council",,"PO Box 105",LILYDALE,VIC,3140,29/12/2011,
PR-00001934,,"Yarra Valley Preschool Inc",,"PO Box 759",TEMPLESTOWE,VIC,3106,29/12/2011,
PR-00001936,,"Yarralea Children's Centre Inc",,"54 YARRALEA ST",ALPHINGTON,VIC,3078,29/12/2011,
PR-00008158,,"MIDDLE PARK KINDERGARTEN INC",,"131 Mills Street","MIDDLE PARK",VIC,3206,29/12/2011,
PR-00008844,,"ATTWOOD HOUSE COMMUNITY CENTRE ASSN",,"202 Erinbank Crescent",ATTWOOD,VIC,3049,24/10/2023,
PR-00008881,,"MANAGEMENT COMMITTEE COONARA COMMUNITY HOUSE INC",,"PO BOX 7041","UPPER FERNTREE GULLY",VIC,3156,23/12/2022,
PR-00008902,,"Gabrielle Stepic",,"99 Bass Meadows Blvd","ST ANDREWS BEACH",VIC,3941,01/01/2015,
PR-00008937,,"THE KEYSBOROUGH FREEDOM CLUB CO-OPERATIVE LIMITED",,"402 Corrigan Road",KEYSBOROUGH,VIC,3173,15/09/2022,
PR-00008946,,"KYNETON COMMUNITY & LEARNING CENTRE INC",,"PO Box 662",KYNETON,VIC,3444,20/01/2025,
PR-00008950,,"LIBERTY AVENUE 3YO KINDERGARTEN INC",,"77 Liberty Avenue",ROWVILLE,VIC,3178,28/11/2022,
PR-00008959,,"KINDERLEA 3 YEAR OLD PRESCHOOL INC.",,"Kinderlea Kindergarten, 3 Coleman Rd","WANTIRNA SOUTH",VIC,3152,01/01/2015,
PR-00009011,,"ROWVILLE 3 YEAR OLD KINDERGARTEN INC",,"P O Box 2268",ROWVILLE,VIC,3178,13/01/2023,
PR-00009033,,"BERWICK NEIGHBOURHOOD CENTRE INC",,"PO Box 55",BERWICK,VIC,3806,25/01/2022,
PR-00009051,,"WARRNAMBOOL THREE YEAR OLD KINDERGARTEN INC",,"P.O. Box 1129",WARRNAMBOOL,VIC,3280,25/01/2022,
PR-00009092,,"Fanny Phillips","PHILLIPS, FANNY","33A Argo St","SOUTH YARRA",VIC,3141,20/11/2015,
PR-00009097,,"CHILDREN'S MONTESSORI CENTRE PTY. LTD.",,"7 Honeyeater Grove","NARRE WARREN",VIC,3805,11/11/2015,
PR-00009233,,"Triple G Investments Pty Ltd ATF Hewagama Family Trust","Beacon House Montessori Centre","PO BOX 122","DINGLEY VILLAGE",VIC,3172,01/12/2016,
PR-00009282,,"Tooradin Primary School Council","Tooradin Primary School","PO Box 205",TOORADIN,VIC,3980,15/03/2017,
PR-00009283,,"Early Education Montessori Centre Pty Ltd","Early Education Montessori Centre Pty Ltd","216 Craigieburn Rd",CRAIGIEBURN,VIC,3064,07/10/2022,
PR-00009406,,"BIALIK EARLY LEARNING CENTRE LIMITED","Bialik Early Learning Centre Limited","427 AUBURN RD",HAWTHORN,VIC,3122,27/06/2024,
PR-00009410,,"SPROUTS ELC PTY LTD","Sprouts ELC Pty Ltd","PO BOX 1055","BLACKBURN NORTH",VIC,3130,27/06/2024,
PR-40018325,,"ST BRIGID'S SCHOOL","St Brigid's Primary School, Ballan","St Brigids Primary School, 98-100 Inglis St",BALLAN,VIC,3342,20/12/2018,
PR-40018333,,"GOMATA PTY LTD","GREENLAND EARLY LEARNING CENTRE","874, WAVERLEY ROAD","GLEN WAVERLEY",VIC,3150,20/12/2019,
