ServiceApprovalNumber,"Provider Approval Number",ServiceName,ProviderLegalName,ServiceType,ServiceAddress,Suburb,State,Postcode,Phone,Fax,"Conditions on Approval",NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,RatingsIssued,PreviousQualityArea1Rating,PreviousQualityArea2Rating,PreviousQualityArea3Rating,PreviousQualityArea4Rating,PreviousQualityArea5Rating,PreviousQualityArea6Rating,PreviousQualityArea7Rating,PreviousOverallRating,PreviousRatingsIssued,"Last Service Approval Transfer Date","Last Visit Date","Long Day Care","Preschool/Kindergarten - Part of a School","Preschool/Kindergarten - Stand alone","Outside school Hours Care - After School","Outside school Hours Care - Before School","Outside school Hours Care - Vacation Care",Other,"Annual Monday Start Time","Annual Monday End Time","Annual Tuesday Start Time","Annual Tuesday End Time","Annual Wednesday Start Time","Annual Wednesday End Time","Annual Thursday Start Time","Annual Thursday End Time","Annual Friday Start Time","Annual Friday End Time","Annual Saturday Start Time","Annual Saturday End Time","Annual Sunday Start Time","Annual Sunday End Time","School Terms Only Session 1 Monday Start Time","School Terms Only Session 1 Monday End Time","School Terms Only Session 1 Tuesday Start Time","School Terms Only Session 1 Tuesday End Time","School Terms Only Session1 Wednesday Start Time","School Terms Only Session1 Wednesday End Time","School Terms Only Session1 Thursday Start Time","School Terms Only Session1 Thursday End Time","School Terms Only Session 1 Friday Start Time","School Terms Only Session 1 Friday End Time","School Terms Only Session 1 Saturday Start Time","School Terms Only Session 1 Saturday End Time","School Terms Only Session1 Sunday Start Time","School Terms Only Session 1 Sunday End Time","School Terms Only Session 2 Monday Start Time","School Terms Only Session 2 Monday End Time","School Terms Only Session 2 Tuesday Start Time","School Terms Only Session 2 Tuesday End Time","School Terms Only Session 2 Wednesday Start Time","School Terms Only Session 2 Wednesday End Time","School Terms Only Session 2 Thursday Start Time","School Terms Only Session2 Thursday End Time","School Terms Only Session 2 Friday Start Time","School Terms Only Session 2 Friday End Time","School Terms Only Session 2 Saturday Start Time","School Terms Only Session 2 Saturday End Time","School Terms Only Session 2 Sunday Start Time","School Terms Only Session 2 Sunday End Time","Holiday Care Monday Start Time","Holiday Care Monday End Time","Holiday Care Tuesday Start Time","Holiday Care Tuesday End Time","Holiday Care Wednesday Start Time","Holiday Care Wednesday End Time","Holiday Care Thursday Start Time","Holiday Care Thursday End Time","Holiday Care Friday Start Time","Holiday Care Friday End Time","Holiday Care Saturday Start Time","Holiday Care Saturday End Time","Holiday Care Sunday Start Time","Holiday Care Sunday End Time","Temporarily Closed"
SE-00004271,PR-00002038,"Stonnington Children's Centre","Stonnington Children's Centre Inc","Centre-Based Care","110 Union Street",WINDSOR,VIC,3181,0395101500,0395101500,"The approved provider must ensure the Environmental Management Plan - Report Ref: E\Enviro 2006\Stonnington Windsor\EMP.wpd Job No. V17863, is complied with for any maintenance or work undertaken at the service.",61,01/01/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jun 2025","Exceeding NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Apr 2022",,"May 2025",Yes,No,No,No,No,No,No,07:45,18:00,07:45,18:00,07:45,18:00,07:45,18:00,07:45,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:45,18:00,07:45,18:00,07:45,18:00,07:45,18:00,07:45,18:00,,,,,No
SE-00004272,PR-40000136,"Hippity Hop Early Learning Pakenham","HIP HOP PTY. LTD.","Centre-Based Care","Bluehills Boulevard",PAKENHAM,VIC,3810,0359403120,0359403124,,120,01/01/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Apr 2024","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Sep 2019",10/12/2013,"September 2025",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00004273,PR-00001839,"Torquay Kindergarten","Surf Coast Shire Council","Centre-Based Care","27 Grossmans Road",TORQUAY,VIC,3228,"03 5261 2526",0352612388,,90,01/01/2012,"Exceeding NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Dec 2024","Exceeding NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Nov 2021",08/10/2012,"August 2024",No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,08:30,16:00,08:30,16:00,08:30,16:00,08:30,16:00,08:30,16:00,,,,,08:30,16:00,08:30,16:00,08:30,16:00,08:30,16:00,08:45,14:45,,,,,,,,,,,,,,,,,,,No
SE-00004275,PR-40036620,"Lumora Early Learning Centre and Kindergarten","LUMORA EARLY LEARNING CENTRE AND KINDERGARTEN PTY LTD","Centre-Based Care","2 Stirling Drive","LAKE GARDENS",VIC,3355,0353400726,0353376529,,66,01/01/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Oct 2024","Working Towards NQS","Working Towards NQS","Working Towards NQS","Working Towards NQS","Working Towards NQS","Meeting NQS","Working Towards NQS","Working Towards NQS","Sep 2020",20/09/2024,"July 2025",Yes,No,No,No,No,No,No,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00004276,PR-00000898,"Creative Garden Early Learning Tullamarine","G8 Education Limited","Centre-Based Care","16-20 Gowrie Park Dr","MELBOURNE AIRPORT",VIC,3045,0393104655,,,120,01/01/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Sep 2025","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Apr 2021",15/09/2014,"September 2025",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00004277,PR-40013927,"Where We Grow - Research","S & E EDUCATION PTY LTD","Centre-Based Care","1560 Main Road",RESEARCH,VIC,3095,0394371344,,"•     An approved provider of an education and care service that is listed on the Department of Education & Training Category 4 List – at some risk of bushfire or grassfire must ensure that: •	The service does not operate on any day that the Victorian Emergency Management Commissioner declares as having a 'Catastrophic' Fire Danger Rating that applies to the area or district at which that service is located.
•	The service's emergency and evacuation policies and procedures required under regulation 168 of the Education and Care Services National Regulations include an Emergency Management Plan for managing the service's bushfire and grass fire related risks.
•	The service's Emergency Management Plan is kept up to date, reflects the service's operating context, is reviewed at least once each calendar year, and includes:
o	a list of the service's emergency contact details
o	procedures for monitoring and managing bushfire and grassfire risks and events
o	procedures for identifying and managing events that may cause planned, unplanned or pre-emptive closure of the service
o	procedures for notifying families of children enrolled at the service of any closure
o	procedures for reviewing and updating the Emergency Management Plan.
•	A copy of the service's Emergency Management Plan is made available to the Regulatory Authority on request.
",100,01/01/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Aug 2025","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Mar 2022",27/10/2023,"May 2026",Yes,No,No,No,No,No,No,07:00,18:30,07:00,18:30,07:00,18:30,07:00,18:30,07:00,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00004278,PR-40021001,"Sentia Early Learning","Sentia Riverside Pty Ltd as trustee for Sentia Riverside Unit Trust","Centre-Based Care","450 Flinders Street",MELBOURNE,VIC,3000,0396299860,0396299861,"The Approved Provider is required to ensure objects are not placed in a manner that may allow a child to climb over barriers or fences; and, all play equipment in the outdoor play spaces are maintained and placed in a way that meets the requirements of the Australian Playground Standards (Standard AS 4685:2014) with particular consideration given to falling space, impact areas and free space.",124,01/01/2012,"Exceeding NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Nov 2022","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Aug 2017",09/02/2020,"June 2026",Yes,No,No,No,No,No,No,07:30,18:30,07:30,18:30,07:30,18:30,07:30,18:30,07:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00004279,PR-00002316,"Cairnlea Kindy and Child Care Centre","Super Duper Kids Pty Ltd ATF The TJH Family Trust","Centre-Based Care","Corner Wattlegrove Road and Carmody Drive",CAIRNLEA,VIC,3023,0393636665,,,130,01/01/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jul 2023","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Jul 2018",,"October 2025",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00004280,PR-00000898,"Creative Garden Early Learning Berwick","G8 Education Limited","Centre-Based Care","22-24 Howell Dr",BERWICK,VIC,3806,0397699443,,,60,01/01/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Dec 2022","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Jun 2017",15/09/2014,"May 2026",Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00004282,PR-00000950,"Little Lane Early Learning Centre - St Kilda","Wu & Kuo Childcare Pty Ltd ATF Wu & Kuo Childcare Trust & Cynas Childcare Pty Ltd ATF Cynas Childcare Trust","Centre-Based Care","43-45 Brighton Rd","ST KILDA",VIC,3182,0370529083,0395255070,,149,01/01/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Feb 2023","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Mar 2017",13/01/2025,"November 2025",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00004283,PR-40024710,"Emerald Twinklekids Early Learning Centre","PAKENHAM ELC PTY LTD","Centre-Based Care","267-271 Belgrave-Gembrook Rd",EMERALD,VIC,3782,0433278716,0433278716,"•	    An approved provider of an education and care service that is listed on the Department of Education & Training Bushfire At-Risk Register must ensure that: 
•	The service does not operate on any day that the Victorian Emergency Management Commissioner declares as having a 'Catastrophic' Fire Danger Rating that applies to the area or district at which that service is located.
•	The service's emergency and evacuation policies and procedures required under regulation 168 of the Education and Care Services National Regulations include an Emergency Management Plan for managing the service's bushfire and grass fire related risks.
•	The service's Emergency Management Plan is kept up to date, reflects the service's operating context, is reviewed at least once each calendar year, and includes:
o	a list of the service's emergency contact details
o	procedures for monitoring and managing bushfire and grassfire risks and events
o	procedures for identifying and managing events that may cause planned, unplanned or pre-emptive closure of the service
o	procedures for notifying families of children enrolled at the service of any closure
o	procedures for reviewing and updating the Emergency Management Plan.
•	A copy of the service's Emergency Management Plan is made available to the Regulatory Authority on request.
",60,01/01/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Feb 2024","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Dec 2019",28/07/2025,"August 2025",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00004284,PR-00000898,"Reeve Street Children's Centre","G8 Education Limited","Centre-Based Care","13-15 Reeve St",SALE,VIC,3850,0351442666,,"The approved provider must ensure the Regulatory Authority is advised 30 days prior to the waiver expiry if the waiver is no longer required, or if the works will not be completed by the waiver expiry. •     An approved provider of an education and care service that is listed on the Department of Education & Training Category 4 List – at some risk of bushfire or grassfire must ensure that: •	The service does not operate on any day that the Victorian Emergency Management Commissioner declares as having a 'Catastrophic' Fire Danger Rating that applies to the area or district at which that service is located.
•	The service's emergency and evacuation policies and procedures required under regulation 168 of the Education and Care Services National Regulations include an Emergency Management Plan for managing the service's bushfire and grass fire related risks.
•	The service's Emergency Management Plan is kept up to date, reflects the service's operating context, is reviewed at least once each calendar year, and includes:
o	a list of the service's emergency contact details
o	procedures for monitoring and managing bushfire and grassfire risks and events
o	procedures for identifying and managing events that may cause planned, unplanned or pre-emptive closure of the service
o	procedures for notifying families of children enrolled at the service of any closure
o	procedures for reviewing and updating the Emergency Management Plan.
•	A copy of the service's Emergency Management Plan is made available to the Regulatory Authority on request.
",70,01/01/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jun 2025","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jan 2022",02/12/2013,"April 2026",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00004285,PR-00000823,"Guardian Childcare & Education Chadstone","Guardian Community Early Learning Centres Pty Ltd","Centre-Based Care","327-333 Huntingdale Rd",CHADSTONE,VIC,3148,0398077856,0398077019,,99,01/01/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Aug 2025","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Aug 2022",,"April 2026",Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00004286,PR-00001578,"Bluebird Way Child and Family Centre","Hume City Council","Centre-Based Care","12-14 Bluebird Way","ROXBURGH PARK",VIC,3064,0392052720,,,131,01/01/2012,"Exceeding NQS","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Aug 2025","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Oct 2021",,"July 2025",No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,08:15,15:45,08:15,15:45,08:15,15:45,08:15,15:45,08:15,15:45,,,,,08:30,16:30,08:30,16:30,08:30,16:00,08:30,16:30,08:30,16:30,,,,,,,,,,,,,,,,,,,No
SE-00004287,PR-40000223,"APPLE BLOSSOMS EARLY LEARNING - NARRE WARREN","ASKK Pty Ltd ATF Ellenbrook Trust","Centre-Based Care","10 Verdun Drive","NARRE WARREN",VIC,3805,0387949244,,,120,01/01/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Feb 2024","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Nov 2019",20/04/2015,"October 2025",Yes,No,No,No,No,No,Yes,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00004288,PR-00000898,"The Learning Sanctuary Pakenham","G8 Education Limited","Centre-Based Care","11-13 Wakenshaw Cres",PAKENHAM,VIC,3810,0359403677,,,125,01/01/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Sep 2024","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","May 2019",12/06/2015,"November 2025",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00004289,PR-00002324,"Cooinda Early Learning Centre","Cooinda Early Learning Centres P/L","Centre-Based Care","19 Bent Street",WESTMEADOWS,VIC,3049,0393342180,0393342181,,91,01/01/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jul 2025","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Meeting NQS","May 2021",,"June 2025",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00004292,PR-40001224,"Beacon Street Children's Centre","HILLTOP LEARNING PTY LTD","Centre-Based Care","463 Burwood Highway","VERMONT SOUTH",VIC,3133,"03 9803 6555","03 9803 6566",,37,01/01/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Sep 2023","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Mar 2018",25/11/2013,"February 2026",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017657,PR-00010702,"Macedon Ranges Montessori Inc.","Macedon Ranges Montessori Inc.","Centre-Based Care","PRE-SCHOOL MONTESSORI, 61 MAIN RD","RIDDELLS CREEK",VIC,3431,,,"An approved provider of an education and care service that is listed on the Department of Education Bushfire At-Risk Register must ensure that:  
a. The service does not operate on any day that the Victorian Emergency Management Commissioner declares as having a 'Catastrophic' Fire Danger Rating that applies to the area or district at which that service is located.  
b. The service's emergency and evacuation policies and procedures required under regulation 168 of the Education and Care Services National Regulations include an Emergency Management Plan for managing the service's bushfire and grass fire related risks.  
c. The service's Emergency Management Plan is kept up to date, reflects the service's operating context, is reviewed at least once each calendar year, and includes:  
i. a list of the service's emergency contact details  
ii. procedures for monitoring and managing bushfire and grassfire risks and events  
iii. procedures for identifying and managing events that may cause planned, unplanned or pre-emptive closure of the service  
iv. procedures for notifying families of children enrolled at the service of any closure  
v. procedures for reviewing and updating the Emergency Management Plan.  
d. A copy of the service's Emergency Management Plan is made available to the Regulatory Authority on request.",40,26/01/2026,,,,,,,,,,,,,,,,,,,,"May 2026",No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,08:30,16:00,08:30,16:00,08:30,16:00,08:30,16:00,08:30,16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017658,PR-00010532,"Learning Ladder ELC Epping","LL EPPING PTY LTD ATF LL EPPING Trust","Centre-Based Care","126A HAYSTON BVD",EPPING,VIC,3076,0385791799,,"The Approved Provider is required to ensure objects are not placed or able to be placed in a manner that may allow a child to climb over barriers or fences; and all play equipment in the outdoor play spaces are maintained and placed in a way that meets the requirements of the Australian Playground Standards (Standard AS 4685) with particular consideration given to falling space, impact areas and free space.",127,01/09/2025,,,,,,,,,,,,,,,,,,,,"November 2025",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017663,PR-40027766,"Bright Steps Academy Horsham","BRIGHT STEPS PTY LTD","Centre-Based Care","7 NATIMUK RD",HORSHAM,VIC,3400,1300402522,,,100,15/09/2025,,,,,,,,,,,,,,,,,,,,"January 2026",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017665,PR-40002234,"TeamKids - Eltham East Primary","TEAM HOLIDAY PTY LTD","Centre-Based Care","ELTHAM EAST PRIMARY SCHOOL, 16 GROVE ST",ELTHAM,VIC,3095,1300035000,,"The Approved Provider may only operate Vacation Care at this Premises.",95,04/07/2025,,,,,,,,,,,,,,,,,,,,"January 2026",No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,No
SE-00017666,PR-40003765,"Healesville Early Learning Centre","Kin Early Education PTY LTD ATF Gloury Trust","Centre-Based Care","49-51 MAROONDAH HWY",HEALESVILLE,VIC,3777,0421763177,,"An approved provider of an education and care service that is listed on the Department of Education Bushfire At-Risk Register must ensure that: 

a. The service does not operate on any day that the Victorian Emergency Management Commissioner declares as having a 'Catastrophic' Fire Danger Rating that applies to the area or district at which that service is located. 

b. The service's emergency and evacuation policies and procedures required under regulation 168 of the Education and Care Services National Regulations include an Emergency Management Plan for managing the service's bushfire and grass fire related risks. 

c. The service's Emergency Management Plan is kept up to date, reflects the service's operating context, is reviewed at least once each calendar year, and includes: 

i. a list of the service's emergency contact details 

ii. procedures for monitoring and managing bushfire and grassfire risks and events 

iii. procedures for identifying and managing events that may cause planned, unplanned or pre-emptive closure of the service 

iv. procedures for notifying families of children enrolled at the service of any closure 

v. procedures for reviewing and updating the Emergency Management Plan. 

d. A copy of the service's Emergency Management Plan is made available to the Regulatory Authority on request.",92,04/06/2025,,,,,,,,,,,,,,,,,,,,"September 2025",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017667,PR-00010738,"BRIGHT BEGINNINGS LEARNING CENTRE WANGARATTA PTY LTD","BRIGHT BEGINNINGS LEARNING CENTRE WANGARATTA PTY LTD","Centre-Based Care","88 PHILLIPSON ST",WANGARATTA,VIC,3677,0347221190,,,84,14/08/2025,,,,,,,,,,,,,,,,,,,,"April 2026",Yes,No,No,No,No,No,No,06:30,19:00,06:30,19:00,06:30,19:00,06:30,19:00,06:30,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017671,PR-00001811,"The Stables Kindergarten","South Morang Preschool Association Inc","Centre-Based Care","152 MILL PARK DR","MILL PARK",VIC,3082,0394041419,,"The approved provider must ensure that this temporary service approval must be surrendered by 31 December 2026.",30,09/07/2025,,,,,,,,,,,,,,,,,,,,"June 2026",No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,08:30,16:00,,,08:30,16:00,08:30,16:00,,,,,,,,,08:30,14:30,,,,,08:30,14:30,,,,,,,,,,,,,,,,,,,No
SE-00017678,PR-00010496,"Kiddie Cove Nagambie ELC","KIDDIE COVE NAGAMBIE PTY LTD","Centre-Based Care","18-20 CENTENARY CR",NAGAMBIE,VIC,3608,0348008626,,,96,06/06/2025,,,,,,,,,,,,,,,,,,,,"September 2025",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017681,PR-40001907,"Kidscape Early Learning Centre Winter Valley","Vantage Education Pty. Ltd.","Centre-Based Care","27 MIRELLE DR","WINTER VALLEY",VIC,3358,0418428407,,,124,18/11/2025,,,,,,,,,,,,,,,,,,,,"April 2026",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017687,PR-40017460,"Kids Club Early Learning Centre Ferntree Gully","VICTORIA EARLY LEARNING PTY LTD","Centre-Based Care","38 DORSET RD","FERNTREE GULLY",VIC,3156,,,"All children being educated and cared for at the service in ‘room 2’ must have appropriate access to the two larger outdoor spaces as denoted on the plans throughout the service operational hours.",83,14/10/2025,,,,,,,,,,,,,,,,,,,,"January 2026",Yes,No,No,Yes,Yes,Yes,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,No
SE-00017689,PR-00002454,"Little Saints Early Learning Centre - Newborough","Davmat Investments Pty Ltd","Centre-Based Care","13 John Field Drive",Newborough,VIC,3825,0341223020,,"An approved provider of an education and care service that is listed on the Department of Education Category 4 List – at some risk of bushfire or grassfire must ensure that:  
a. The service does not operate on any day that the Victorian Emergency Management Commissioner declares as having a 'Catastrophic' Fire Danger Rating that applies to the area or district at which that service is located.  
b. The service's emergency and evacuation policies and procedures required under regulation 168 of the Education and Care Services National Regulations include an Emergency Management Plan for managing the service's bushfire and grass fire related risks.
c. The service's Emergency Management Plan is kept up to date, reflects the service's operating context, is reviewed at least once each calendar year, and includes:  
i. a list of the service's emergency contact details  
ii. procedures for monitoring and managing bushfire and grassfire risks and events  
iii. procedures for identifying and managing events that may cause planned, unplanned or pre-emptive closure of the service  
iv. procedures for notifying families of children enrolled at the service of any closure  
v. procedures for reviewing and updating the Emergency Management Plan.  
d. A copy of the service's Emergency Management Plan is made available to the Regulatory Authority on request.",123,23/06/2025,,,,,,,,,,,,,,,,,,,,"May 2026",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
